Year,biomass,fossil fuel,industry,refined liquid
2005,,,0.490634,
2010,,,0.260084,
2015,,,0.3429509,
2020,,,0.4023591,
2025,0.020425080999999998,0.29769371131,0.547502110917,0.5106584000000001
2030,0.0644423708,0.5804782577300001,0.971460178506,0.48505455900000005
2035,0.23835341869999999,0.9467158952700001,2.2418460733234,0.6227979260000001
2040,0.5894902876000001,1.4313755271700002,4.015295941851,0.850904661
2045,0.8148716559,1.679611682058,5.5380848928090005,0.6401987643
2050,0.8086890855100001,1.6215765931687,6.911576410736001,0.3782336287
2055,0.674655317497,1.3467157487201,8.030015374928,0.25371365515
2060,0.589413188675,1.0049274748891102,8.871474702941399,0.182429142525
2065,0.4871864522573,0.6897693771589399,9.45376494472843,0.1161320902619
2070,0.41747610776219995,0.4576473615522769,9.788018969263861,0.0878115811875
2075,0.3595737430628,0.31399976678727803,10.16239687739447,0.0647673096193
2080,0.2890461470229,0.207176228994221,10.681580133833522,0.0426150658269
2085,0.286812393205,0.143406263711811,11.32067161370986,0.034919767704100005
2090,0.3538797549808,0.13094013611781,11.974820051481672,0.0353309934645
2095,0.39042107315040003,0.130541755644825,12.555761459318658,0.0310532342492
2100,0.4829272348569,0.154726854497149,13.016274900764088,0.037389719731600005
