Year,Africa_Western,Brazil,China,India,South Asia
1975,0.4180425,2.606592,3.061061,3.062856,0.23731636
1990,0.5402657000000001,6.98126,15.05534,5.16576,0.3195816
2005,0.36219999999999997,9.793790000000001,44.69774,14.16241,0.6414584000000001
2010,0.3222818,12.57759,60.00019999999999,13.97143,0.43302240000000003
2015,0.49475792,11.732520000000001,80.356,18.41103,0.49331450000000004
2020,0.7089268070372701,13.607001051000001,97.8548,21.1985701851,0.5841544
2025,3.18160922825995,19.957464604000002,169.98989744999997,34.7171276429,3.051622791883
2030,7.45829040810352,30.794628771,287.627066985,52.22163970970001,5.503106656123999
2035,15.661327019853491,46.21219447200001,402.2116896360001,81.5364803374,10.426978294044998
2040,28.108934241418638,59.13423106199999,520.8744925259999,110.1731903582,15.445858357242699
2045,42.15303755978378,68.23201115359998,606.8148071820001,130.82979241071,19.645745957999
2050,55.63750432176375,74.448139781,667.7341853610001,141.919869521237,21.66924852284064
2055,67.12333112081,82.52237092726,707.531779406,136.47604613655798,21.203963977805493
2060,69.69238645617001,91.75043672890901,737.1886524509,130.659267661794,20.6110931456428
2065,66.942515381249,104.00189813651701,763.1761324856,124.79852127393491,19.94373266127149
2070,62.34989295765799,116.87598742787078,778.451356394,118.30104601658708,19.11239456461488
2075,58.889451733974695,126.67892150770511,791.1264064784001,113.62414847573037,18.897675222949765
2080,57.458688756359045,134.28702521534788,809.4561123081203,110.78411083300406,19.233639006016205
2085,57.93607188698412,142.03733248352776,843.3516391038398,108.85264025426049,19.970956391197056
2090,59.4783116681882,150.84026222381843,890.5367326557739,106.68893903619414,20.826771382955407
2095,60.945916925153675,160.62458727093988,928.770136254524,103.49271398740791,21.68042447371397
2100,62.42065107083903,172.99353352133392,930.5179027727768,100.4453123804954,22.26277716304726
